time	I(Ls1)
4.959204176003336e-005	-1.223085e-004
4.959208189904852e-005	-3.802692e-004
4.959212854951738e-005	-5.465416e-004
4.959216504167650e-005	-5.374402e-004
4.959219854939480e-005	-4.050490e-004
4.959223238020123e-005	-1.847825e-004
4.959226496730916e-005	6.035304e-005
4.959231019832405e-005	3.625622e-004
4.959235261350957e-005	5.266148e-004
4.959239674233494e-005	5.143481e-004
4.959244340431608e-005	3.162737e-004
4.959248274035355e-005	4.861801e-005
4.959252518314545e-005	-2.456740e-004
4.959258031814466e-005	-5.074284e-004
4.959261881743067e-005	-5.484038e-004
4.959265312312242e-005	-4.485088e-004
4.959268809947345e-005	-2.448362e-004
4.959272026639231e-005	-9.271390e-006
4.959276190834479e-005	2.772594e-004
4.959281315655424e-005	5.010198e-004
4.959285849715834e-005	5.120795e-004
4.959290705901947e-005	3.202213e-004
4.959294698213897e-005	5.586306e-005
4.959298992190790e-005	-2.396034e-004
4.959304369468731e-005	-4.978701e-004
4.959308180679735e-005	-5.444842e-004
4.959311615597450e-005	-4.523304e-004
4.959315125189264e-005	-2.554411e-004
4.959318361340997e-005	-2.265881e-005
4.959322406992137e-005	2.536550e-004
4.959327797624652e-005	4.904397e-004
4.959332397974398e-005	5.041601e-004
4.959337329436234e-005	3.111366e-004
4.959341369815311e-005	4.649494e-005
4.959345694225520e-005	-2.441806e-004
4.959351259492496e-005	-4.975133e-004
4.959355111402389e-005	-5.330240e-004
4.959358535206186e-005	-4.317989e-004
4.959362021285082e-005	-2.310778e-004
4.959365227487182e-005	-1.221684e-006
4.959369358890605e-005	2.758073e-004
4.959374384071202e-005	4.888282e-004
4.959378933970548e-005	4.992211e-004
4.959383788924183e-005	3.120501e-004
4.959387861599453e-005	4.910005e-005
4.959392233139107e-005	-2.404072e-004
4.959397861349114e-005	-4.919919e-004
4.959401723010105e-005	-5.253689e-004
4.959405144987065e-005	-4.236009e-004
4.959408627135424e-005	-2.242776e-004
4.959411827493675e-005	2.715841e-006
4.959415941320619e-005	2.750150e-004
4.959420917181293e-005	4.828375e-004
4.959425475475833e-005	4.928996e-004
4.959430329900725e-005	3.080220e-004
